method,sequence,accuracy,recall,fps,reinit,frames
tracker,crossing,0.749532,0.525225,43.6667,6,131
tracker,crossing,0.776721,0.493095,43.6667,7,131
tracker,crossing,0.760991,0.507438,43.6667,8,131
tracker,crossing,0.741754,0.476952,43.6667,9,131
tracker,crossing,0.741339,0.460572,43.6667,7,131
tracker,crossing,0.76677,0.524088,43.6667,6,131
tracker,crossing,0.727905,0.454243,43.6667,8,131
pmmh,dinosaur,0.55149,0.577453,5.52542,10,326
pmmh,dinosaur,0.500163,0.522462,6.15094,10,326
pmmh,dinosaur,0.569838,0.57923,6.39216,9,326
pmmh,dinosaur,0.575159,0.57204,4.40541,11,326
pmmh,dinosaur,pmmh,dinosaur,0.513414,0.548219,2.26389,13,326
pmmh,dinosaur,pmmh,dinosaur,pmmh,dinosaur,pmmh,dinosaur,pmmh,dinosaur,0.63616,0.624657,2.65041,12,326
pmmh,dinosaur,0.529394,0.576121,2.21769,15,326
pmmh,dinosaur,0.564734,0.588378,2.41481,13,326
pmmh,dinosaur,0.513741,0.563684,2.5873,14,326
pmmh,dinosaur,tracker,dinosaur,tracker,dinosaur,0.553448,0.564749,40.75,13,326
tracker,dinosaur,0.570423,0.62342,36.2222,15,326
tracker,dinosaur,tracker,dinosaur,0.565054,0.574889,36.2222,18,326
tracker,dinosaur,0.552098,0.589914,36.2222,19,326
tracker,dinosaur,0.604763,0.597725,36.2222,25,326
tracker,dinosaur,0.557478,0.617524,32.6,14,326
tracker,dinosaur,tracker,dinosaur,0.65367,0.64841,40.75,27,326
tracker,dinosaur,tracker,dinosaur,tracker,dinosaur,0.616517,0.612161,40.75,18,326
tracker,dinosaur,0.521159,0.512128,40.75,14,326
tracker,dinosaur,0.55855,0.589013,36.2222,18,326
pmmh,fernando,0.535157,0.433544,1.11027,9,292
pmmh,fernando,0.598448,0.614377,1.17742,31,292
pmmh,fernando,0.683038,0.709984,1.13619,35,292
pmmh,fernando,0.668815,0.620223,1.21162,26,292
pmmh,fernando,0.653151,0.64609,1.19672,33,292
pmmh,fernando,0.649982,0.595852,1.32727,30,292
pmmh,fernando,0.620533,0.580438,1.22689,29,292
pmmh,fernando,0.658848,0.662139,1.20165,35,292
pmmh,fernando,0.614635,0.619209,1.17742,32,292
pmmh,fernando,0.677513,0.668494,1.07749,25,292
pmmh,fernando,0.548103,0.540237,1.22176,29,292
pmmh,fernando,0.601001,0.616078,1.18219,32,292
pmmh,fernando,0.646454,0.65674,1.18699,39,292
pmmh,fernando,0.636547,0.617073,1.168,30,292
pmmh,fernando,0.634165,0.62401,1.22689,33,292
tracker,fernando,0.58356,0.564244,18.25,64,292
tracker,fernando,0.639953,0.608484,16.2222,22,292
